datetime,Heating Setpoint (New),Cooling Setpoint (New),Heating Deadband Up,Heating Deadband Down,Cooling Deadband Up,Cooling Deadband Down
 09/11  5:08,10,35,0.4,0.6,0.4,0.6
 09/11  5:09,10,35,0.4,0.6,0.4,0.6
 09/11  5:10,10,35,0.4,0.6,0.4,0.6
 09/11  5:11,10,35,0.4,0.6,0.4,0.6
 09/11  5:12,10,35,0.4,0.6,0.4,0.6
 09/11  5:13,10,35,0.4,0.6,0.4,0.6
 09/11  5:14,10,35,0.4,0.6,0.4,0.6
 09/11  5:15,10,35,0.4,0.6,0.4,0.6
 09/11  5:16,10,35,0.4,0.6,0.4,0.6
 09/11  5:17,10,35,0.4,0.6,0.4,0.6
 09/11  5:18,10,35,0.4,0.6,0.4,0.6
 09/11  5:19,10,35,0.4,0.6,0.4,0.6
 09/11  5:20,10,35,0.4,0.6,0.4,0.6
 09/11  5:21,10,35,0.4,0.6,0.4,0.6
 09/11  5:22,10,35,0.4,0.6,0.4,0.6
 09/11  5:23,10,35,0.4,0.6,0.4,0.6
 09/11  5:24,10,35,0.4,0.6,0.4,0.6
 09/11  5:25,10,35,0.4,0.6,0.4,0.6
 09/11  5:26,10,35,0.4,0.6,0.4,0.6
 09/11  5:27,10,35,0.4,0.6,0.4,0.6
 09/11  5:28,10,35,0.4,0.6,0.4,0.6
 09/11  5:29,10,35,0.4,0.6,0.4,0.6
 09/11  5:30,10,35,0.4,0.6,0.4,0.6
 09/11  5:31,10,35,0.4,0.6,0.4,0.6
 09/11  5:32,10,35,0.4,0.6,0.4,0.6
 09/11  5:33,10,35,0.4,0.6,0.4,0.6
 09/11  5:34,10,35,0.4,0.6,0.4,0.6
 09/11  5:35,10,35,0.4,0.6,0.4,0.6
 09/11  5:36,10,35,0.4,0.6,0.4,0.6
 09/11  5:37,10,35,0.4,0.6,0.4,0.6
 09/11  5:38,10,35,0.4,0.6,0.4,0.6
 09/11  5:39,10,35,0.4,0.6,0.4,0.6
 09/11  5:40,10,35,0.4,0.6,0.4,0.6
 09/11  5:41,10,35,0.4,0.6,0.4,0.6
 09/11  5:42,10,35,0.4,0.6,0.4,0.6
 09/11  5:43,10,35,0.4,0.6,0.4,0.6
 09/11  5:44,10,35,0.4,0.6,0.4,0.6
 09/11  5:45,10,35,0.4,0.6,0.4,0.6
 09/11  5:46,10,35,0.4,0.6,0.4,0.6
 09/11  5:47,10,35,0.4,0.6,0.4,0.6
 09/11  5:48,10,35,0.4,0.6,0.4,0.6
 09/11  5:49,10,35,0.4,0.6,0.4,0.6
 09/11  5:50,10,35,0.4,0.6,0.4,0.6
 09/11  5:51,10,35,0.4,0.6,0.4,0.6
 09/11  5:52,10,35,0.4,0.6,0.4,0.6
 09/11  5:53,10,35,0.4,0.6,0.4,0.6
 09/11  5:54,10,35,0.4,0.6,0.4,0.6
 09/11  5:55,10,35,0.4,0.6,0.4,0.6
 09/11  5:56,10,35,0.4,0.6,0.4,0.6
 09/11  5:57,10,35,0.4,0.6,0.4,0.6
 09/11  5:58,10,35,0.4,0.6,0.4,0.6
 09/11  5:59,10,35,0.4,0.6,0.4,0.6
 09/11  6:00,10,35,0.4,0.6,0.4,0.6
 09/11  6:01,10,35,0.4,0.6,0.4,0.6
 09/11  6:02,10,35,0.4,0.6,0.4,0.6
 09/11  6:03,10,35,0.4,0.6,0.4,0.6
 09/11  6:04,10,35,0.4,0.6,0.4,0.6
 09/11  6:05,10,35,0.4,0.6,0.4,0.6
 09/11  6:06,10,35,0.4,0.6,0.4,0.6
 09/11  6:07,10,35,0.4,0.6,0.4,0.6
 09/11  6:08,10,35,0.4,0.6,0.4,0.6
 09/11  6:09,10,35,0.4,0.6,0.4,0.6
 09/11  6:10,10,35,0.4,0.6,0.4,0.6
 09/11  6:11,10,35,0.4,0.6,0.4,0.6
 09/11  6:12,10,35,0.4,0.6,0.4,0.6
 09/11  6:13,10,35,0.4,0.6,0.4,0.6
 09/11  6:14,10,35,0.4,0.6,0.4,0.6
 09/11  6:15,10,35,0.4,0.6,0.4,0.6
