datetime,Heating Setpoint (New),Cooling Setpoint (New),Heating Deadband Up,Heating Deadband Down,Cooling Deadband Up,Cooling Deadband Down
 01/03  06:06:00,21.3766916,30,1.5,1.5,1.5,1.5
 01/03  06:07:00,21.52972987,30,1.5,1.5,1.5,1.5
 01/03  06:08:00,21.65806209,30,1.5,1.5,1.5,1.5
 01/03  06:09:00,21.76750813,30,1.5,1.5,1.5,1.5
 01/03  06:10:00,21.86186858,30,1.5,1.5,1.5,1.5
 01/03  06:11:00,21.94406797,30,1.5,1.5,1.5,1.5
 01/03  06:12:00,22.01639863,30,1.5,1.5,1.5,1.5
 01/03  06:13:00,22.08061625,30,1.5,1.5,1.5,1.5
 01/03  06:14:00,22.1381776,30,1.5,1.5,1.5,1.5
 01/03  06:15:00,22.19027716,30,1.5,1.5,1.5,1.5
 01/03  06:16:00,22.23783283,30,1.5,1.5,1.5,1.5
 01/03  06:17:00,22.28156342,30,1.5,1.5,1.5,1.5
 01/03  06:18:00,22.32205836,30,1.5,1.5,1.5,1.5
 01/03  06:19:00,22.35977616,30,1.5,1.5,1.5,1.5
 01/03  06:20:00,22.39508008,30,1.5,1.5,1.5,1.5
 01/03  06:21:00,22.42825784,30,1.5,1.5,1.5,1.5
 01/03  06:22:00,22.45955193,30,1.5,1.5,1.5,1.5
 01/03  06:23:00,22.48916761,30,1.5,1.5,1.5,1.5
 01/03  06:24:00,22.51727212,30,1.5,1.5,1.5,1.5
 01/03  06:25:00,22.54400265,30,1.5,1.5,1.5,1.5
 01/03  06:26:00,22.56947679,30,1.5,1.5,1.5,1.5
 01/03  06:27:00,22.59379733,30,1.5,1.5,1.5,1.5
